MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 11, 0.010000, 5, 2, 64.709946, 91.885361
12, 11, 0.010000, 10, 2, 66.988945, 95.839088
12, 11, 0.010000, 15, 2, 68.370171, 96.641922
12, 11, 0.010000, 20, 2, 68.301102, 97.323898
12, 11, 0.010000, 25, 2, 69.267960, 97.841850
12, 11, 0.010000, 30, 2, 69.406082, 98.221687
12, 11, 0.010000, 35, 2, 69.198898, 98.351173
12, 11, 0.010000, 40, 2, 69.751381, 98.446129
12, 11, 0.010000, 45, 2, 69.060776, 98.696472
12, 11, 0.010000, 50, 2, 69.613251, 98.687851
