MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 17, 0.010000, 5, 2, 66.436462, 89.830795
12, 17, 0.010000, 10, 2, 68.162979, 94.008980
12, 17, 0.010000, 15, 2, 67.541435, 95.286606
12, 17, 0.010000, 20, 2, 68.232048, 96.184395
12, 17, 0.010000, 25, 2, 69.060776, 96.305244
12, 17, 0.010000, 30, 2, 69.751381, 96.952698
12, 17, 0.010000, 35, 2, 70.441994, 96.961334
12, 17, 0.010000, 40, 2, 70.580109, 96.995857
12, 17, 0.010000, 45, 2, 70.511047, 97.220306
12, 17, 0.010000, 50, 2, 71.477905, 97.349792
