MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 16, 0.010000, 5, 2, 65.745857, 89.968925
12, 16, 0.010000, 10, 2, 67.403320, 94.008972
12, 16, 0.010000, 15, 2, 68.024864, 95.959946
12, 16, 0.010000, 20, 2, 68.370163, 96.339783
12, 16, 0.010000, 25, 2, 70.372925, 96.641930
12, 16, 0.010000, 30, 2, 69.129837, 96.892265
12, 16, 0.010000, 35, 2, 70.027634, 97.401588
12, 16, 0.010000, 40, 2, 70.096680, 97.487915
12, 16, 0.010000, 45, 2, 69.544197, 97.617401
12, 16, 0.010000, 50, 2, 69.889503, 97.487915
