MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 5, 0.010000, 5, 2, 63.812153, 93.585983
12, 5, 0.010000, 10, 2, 65.331497, 96.883636
12, 5, 0.010000, 15, 2, 67.679558, 98.325279
12, 5, 0.010000, 20, 2, 70.027626, 98.679214
12, 5, 0.010000, 25, 2, 70.372925, 98.938194
12, 5, 0.010000, 30, 2, 67.955803, 99.231705
12, 5, 0.010000, 35, 2, 68.439232, 99.343918
12, 5, 0.010000, 40, 2, 70.511055, 99.412987
12, 5, 0.010000, 45, 2, 69.889511, 99.499306
12, 5, 0.010000, 50, 2, 69.198898, 99.490685
