MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 14, 0.010000, 5, 2, 67.058014, 90.849442
12, 14, 0.010000, 10, 2, 68.232040, 94.854965
12, 14, 0.010000, 15, 2, 68.439224, 95.623276
12, 14, 0.010000, 20, 2, 68.784523, 96.840462
12, 14, 0.010000, 25, 2, 68.370171, 97.133980
12, 14, 0.010000, 30, 2, 69.889496, 97.634659
12, 14, 0.010000, 35, 2, 70.441986, 97.574234
12, 14, 0.010000, 40, 2, 69.060776, 97.850479
12, 14, 0.010000, 45, 2, 71.270721, 97.928177
12, 14, 0.010000, 50, 2, 70.165741, 98.005867
