MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 13, 0.010000, 5, 2, 64.502762, 91.030731
12, 13, 0.010000, 10, 2, 67.403313, 95.088051
12, 13, 0.010000, 15, 2, 68.991714, 96.201660
12, 13, 0.010000, 20, 2, 69.682320, 97.047653
12, 13, 0.010000, 25, 2, 68.093918, 97.539711
12, 13, 0.010000, 30, 2, 70.580109, 97.686462
12, 13, 0.010000, 35, 2, 70.580116, 97.798691
12, 13, 0.010000, 40, 2, 69.751373, 98.221687
12, 13, 0.010000, 45, 2, 69.613258, 98.230324
12, 13, 0.010000, 50, 2, 70.511055, 98.031769
