MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 9, 0.010000, 5, 2, 65.262428, 92.083916
12, 9, 0.010000, 10, 2, 65.814911, 96.149864
12, 9, 0.010000, 15, 2, 69.406082, 97.099442
12, 9, 0.010000, 20, 2, 68.301102, 98.023140
12, 9, 0.010000, 25, 2, 69.129837, 98.385704
12, 9, 0.010000, 30, 2, 69.198898, 98.636047
12, 9, 0.010000, 35, 2, 70.303871, 98.601517
12, 9, 0.010000, 40, 2, 69.198898, 98.825958
12, 9, 0.010000, 45, 2, 69.475136, 98.825974
12, 9, 0.010000, 50, 2, 69.682327, 98.938187
