MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 10, 0.010000, 5, 2, 65.469612, 91.919884
12, 10, 0.010000, 10, 2, 68.715469, 95.856354
12, 10, 0.010000, 15, 2, 69.544205, 97.142616
12, 10, 0.010000, 20, 2, 68.162987, 97.815948
12, 10, 0.010000, 25, 2, 69.129837, 97.997246
12, 10, 0.010000, 30, 2, 68.508293, 98.308022
12, 10, 0.010000, 35, 2, 70.165741, 98.592880
12, 10, 0.010000, 40, 2, 68.922653, 98.575623
12, 10, 0.010000, 45, 2, 70.234802, 98.575615
12, 10, 0.010000, 50, 2, 70.441986, 98.825958
