MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 12, 0.010000, 5, 2, 66.850838, 91.496887
12, 12, 0.010000, 10, 2, 68.439232, 94.975830
12, 12, 0.010000, 15, 2, 68.784531, 96.400200
12, 12, 0.010000, 20, 2, 69.682320, 97.108078
12, 12, 0.010000, 25, 2, 68.853592, 97.660568
12, 12, 0.010000, 30, 2, 70.718231, 98.066299
12, 12, 0.010000, 35, 2, 70.511047, 97.876373
12, 12, 0.010000, 40, 2, 69.820442, 98.325279
12, 12, 0.010000, 45, 2, 69.682327, 98.402962
12, 12, 0.010000, 50, 2, 69.337013, 98.497925
