MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 6, 0.010000, 5, 2, 64.709946, 93.430588
12, 6, 0.010000, 10, 2, 66.436455, 96.624664
12, 6, 0.010000, 15, 2, 67.334251, 98.005867
12, 6, 0.010000, 20, 2, 68.439224, 98.566986
12, 6, 0.010000, 25, 2, 68.646408, 98.722366
12, 6, 0.010000, 30, 2, 68.024864, 99.007256
12, 6, 0.010000, 35, 2, 70.372925, 99.119476
12, 6, 0.010000, 40, 2, 69.198898, 99.179909
12, 6, 0.010000, 45, 2, 70.027626, 99.145378
12, 6, 0.010000, 50, 2, 70.027626, 99.309387
