MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 15, 0.010000, 5, 2, 65.953041, 89.804909
12, 15, 0.010000, 10, 2, 67.472382, 94.276581
12, 15, 0.010000, 15, 2, 68.232040, 95.804558
12, 15, 0.010000, 20, 2, 68.162987, 96.443367
12, 15, 0.010000, 25, 2, 69.682327, 96.831841
12, 15, 0.010000, 30, 2, 68.784538, 97.298004
12, 15, 0.010000, 35, 2, 69.198898, 97.203033
12, 15, 0.010000, 40, 2, 70.165749, 97.626038
12, 15, 0.010000, 45, 2, 69.267960, 97.626030
12, 15, 0.010000, 50, 2, 70.165749, 97.651932
