MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 19, 0.010000, 5, 2, 65.814926, 88.648132
12, 19, 0.010000, 10, 2, 68.853584, 93.232040
12, 19, 0.010000, 15, 2, 69.198898, 94.725487
12, 19, 0.010000, 20, 2, 68.508286, 95.588745
12, 19, 0.010000, 25, 2, 68.162987, 95.813194
12, 19, 0.010000, 30, 2, 70.441994, 96.339783
12, 19, 0.010000, 35, 2, 70.649170, 96.667824
12, 19, 0.010000, 40, 2, 68.646408, 96.659187
12, 19, 0.010000, 45, 2, 71.201660, 96.805939
12, 19, 0.010000, 50, 2, 69.129829, 97.099449
