MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 7, 0.010000, 5, 2, 65.814919, 93.137093
12, 7, 0.010000, 10, 2, 67.886734, 96.607384
12, 7, 0.010000, 15, 2, 67.196129, 97.815956
12, 7, 0.010000, 20, 2, 68.577347, 98.247589
12, 7, 0.010000, 25, 2, 69.337021, 98.497925
12, 7, 0.010000, 30, 2, 69.682327, 98.825966
12, 7, 0.010000, 35, 2, 67.334251, 99.033150
12, 7, 0.010000, 40, 2, 68.232040, 99.024513
12, 7, 0.010000, 45, 2, 70.511055, 99.266228
12, 7, 0.010000, 50, 2, 68.853592, 99.231697
