MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 8, 0.010000, 5, 2, 64.917122, 92.247925
12, 8, 0.010000, 10, 2, 66.574585, 96.503792
12, 8, 0.010000, 15, 2, 68.508286, 97.531090
12, 8, 0.010000, 20, 2, 69.475136, 98.100830
12, 8, 0.010000, 25, 2, 69.682327, 98.480667
12, 8, 0.010000, 30, 2, 70.096680, 98.601517
12, 8, 0.010000, 35, 2, 70.096687, 98.774178
12, 8, 0.010000, 40, 2, 68.991707, 99.162643
12, 8, 0.010000, 45, 2, 69.544205, 99.145370
12, 8, 0.010000, 50, 2, 69.475136, 99.136742
